id	text	title
0	Susan Lewis :: Susan is one of ER's original characters, first seen in Season 1 as an eager resident. Hailing from Sevenacre Rapids, Illinois, Susan led somewhat of an eventful childhood. She was bullied for being overweight, later to which she discovered her best friend Linda Turley was behind the bullying. Susan attended Arizona State University, graduating from Jefferson College with first class honours. She left County General Hospital and the series in Season 3, but returned five seasons later as an attending physician in Season 8. Susan Lewis eventually checked out of the ER for good in 2005 at the beginning of Season 12, having been passed over for tenure in favor of John Carter by Kerry Weaver. She was offered a tenured position at a hospital in Wales.	Susan Lewis
1	"Fiddler on the Roof :: Fiddler on the Roof is a musical with music by Jerry Bock, lyrics by Sheldon Harnick, and book by Joseph Stein, set in the Pale of Settlement of Imperial Russia in 1905. It is based on ""Tevye and his Daughters"" (or ""Tevye the Dairyman"") and other tales by Sholem Aleichem. The story centers on Tevye, the father of five daughters, and his attempts to maintain his Jewish religious and cultural traditions as outside influences encroach upon the family's lives. He must cope both with the strong-willed actions of his three older daughters, who wish to marry for love – each one's choice of a husband moves further away from the customs of their Jewish faith and heritage – and with the edict of the Tsar that evicts the Jews from their village."	Fiddler on the Roof
2	Bears–Packers rivalry :: The rivalry began in and is the league's most played, with 198 regular-season and post-season games. The rivalry is not the league's longest continuous rivalry, as the 1982 strike-shortened NFL season did not include a Bears–Packers game. That title goes to the rivalry between the Packers and the Detroit Lions, who have played each other at least twice a year since 1932. The Packers and Bears have played in the same conference or division since the NFL went to a conference format in 1933; they played in the NFL's Western Conference from 1933 to 1970, and have been in the NFC North since 1970 (known as the NFC Central from 1970–2001). As such, they usually play each other twice every regular season.	Bears–Packers rivalry
3	Voting age :: A voting age is a minimum age established by law that a person must attain before they become eligible to vote in a public election. Today, the most common voting age is 18 years; however, voting ages as low as 16 and as high as 25 currently exist (see list below). Most countries have set a minimum voting age, often set in their constitution. In a number of countries voting is compulsory for those eligible to vote, while in most it is optional.	Voting age
4	History of self-driving cars :: Experiments have been conducted on self-driving cars since at least the 1920s; promising trials took place in the 1950s and work has proceeded since then. The first self-sufficient and truly autonomous cars appeared in the 1980s, with Carnegie Mellon University's Navlab and ALV projects in 1984 and Mercedes-Benz and Bundeswehr University Munich's Eureka Prometheus Project in 1987. Since then, numerous major companies and research organizations have developed working prototype autonomous vehicles including Mercedes-Benz, General Motors, Continental Automotive Systems, Autoliv Inc., Bosch, Nissan, Toyota, Audi, Volvo, Vislab from University of Parma, Oxford University and Google. In July 2013, Vislab demonstrated BRAiVE, a vehicle that moved autonomously on a mixed traffic route open to public traffic.	History of self-driving cars
5	Bocca della Verità :: The Mouth of Truth ( ) is a marble mask in Rome, Italy, which stands against the left wall of the portico of the Santa Maria in Cosmedin church, at the Piazza della Bocca della Verità, the site of the ancient Forum Boarium (the ancient cattle market). It attracts visitors who audaciously stick their hand in the mouth.	Bocca della Verità
6	1824 United States presidential election :: The Democratic-Republican Party had won six consecutive presidential elections and was the only national political party. The Congressional caucus nominated Treasury Secretary William H. Crawford for president. Senator Andrew Jackson, House Speaker Henry Clay, and Secretary of State Adams all joined Crawford in seeking the presidency, highlighting factionalism within the party and an end to the Era of Good Feelings. A fifth candidate, John C. Calhoun, withdrew, instead choosing to run for vice president.	1824 United States presidential election
7	Children's Online Privacy Protection Act :: The act, effective April 21, 2000, applies to the online collection of personal information by persons or entities under U.S. jurisdiction about children under 13 years of age. It details what a website operator must include in a privacy policy, when and how to seek verifiable consent from a parent or guardian, and what responsibilities an operator has to protect children's privacy and safety online including restrictions on the marketing of those under 13.	Children's Online Privacy Protection Act
8	"8 Mile (film) :: 8 Mile is a 2002 American drama film written by Scott Silver, directed by Curtis Hanson, and starring Eminem, Mekhi Phifer, Brittany Murphy, Michael Shannon, Anthony Mackie and Kim Basinger. The film follows white rapper B-Rabbit (Eminem) and his attempt to launch a career in a genre dominated by African-Americans. The title is derived from 8 Mile Road, the highway between the predominantly black city of Detroit and Wayne County and the predominantly white Oakland County and Macomb County suburbs. It was filmed mostly on location. ""8 Mile"" was a critical and commercial success. Eminem won the Academy Award for Best Original Song for ""Lose Yourself""."	8 Mile (film)
9	"Grease (song) :: ""Grease"" is a song written by Barry Gibb and performed by Frankie Valli. ""Grease"" is the title song for the 1978 musical motion picture ""Grease"", which was based on the stage play of the same name. It sold over seven million copies worldwide and was featured twice on the film's soundtrack, as the first track and reprised as the final track. This track was specifically written for the 1978 musical motion picture and was not used in the stage production of ""Grease""."	Grease (song)
